ObjectID,GlobalID,Channel Unit Type,Channel Unit Number,Channel Segment Number,Thalweg Exit Depth (m),Channel Unit Notes,Overhanging Cover,Aquatic Vegetation,Woody Debris Cover,Artificial Cover,Total No Cover,Sand/Fines 2mm,Gravel 2-64mm,Cobble 64-256mm,Boulder 256mm,Pebble 1 (mm),Pebble 2 (mm),Pebble 3 (mm),Pebble 4 (mm),Pebble 5 (mm),Pebble 6 (mm),Pebble 7 (mm),Pebble 8 (mm),Pebble 9 (mm),Pebble 10 (mm),Pebble 11 (mm),Maximum Depth (m),Width 1,Width 2,Width 3,Width 4,Width 5,ParentGlobalID,CreationDate,Creator,EditDate,Editor
85,dbc784b6-5b74-4efb-b6d3-56a2dcdf25dc,Riffle,86,19,0.18,,0.1,,,,100,,,,,0.06,9.65,13.65,13.65,6.85,109,38.5,27.3,13.65,27.3,54.5,0.29,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
86,5303f702-6f05-4e9e-838b-a652051a5a77,Pool,87,1,0.26,,0.1,,,,0.9,40,30,30,,,,,,,,,,,,,0.52,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
87,cb1747a9-16b9-4ca2-bda1-62bd2872e4ee,Rapid+,88,1,0.19,,,,0.4,,0.7,50,20,30,,,,,,,,,,,,,0.27,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
88,70e4fe24-f4dd-4df9-9235-2055b1e72ca9,Pool,89,1,0.24,,,,,,100,60,30,10,,,,,,,,,,,,,0.54,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
89,5bb5b79d-8fcc-4c13-b79f-a5dbfc243f6a,Riffle,90,1,0.24,,,,0.1,,0.9,40,30,30,,,,,,,,,,,,,0.36,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
90,7417e7a4-54b0-40f2-a36f-bc2a4baff170,Rapid+,91,1,0.18,,0.1,,,,0.9,30,30,40,,,,,,,,,,,,,0.3,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
91,2060ee8c-02fd-41b0-8c42-c048b888ff6c,Riffle,92,1,0.21,,0.1,,,,0.9,40,30,20,10,,,,,,,,,,,,0.31,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
92,90c4a98d-9579-4a0b-9e31-3301b3b78a0e,SSC,93,21,0.14,,0.6,,,,0.4,60,40,,,,,,,,,,,,,,0.24,1,0.92,0.83,1.17,1.01,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
93,94bba394-8cdc-481c-8d57-c3ed3d3d7be5,Pool,95,1,0.21,,10,,10,,90,40,40,20,,,,,,,,,,,,,0.63,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
94,0bf0881a-6b9c-40c6-8fab-2f84aac7eaa0,Riffle,96,1,0.2,,0.1,,0.1,,0.9,30,30,40,,,,,,,,,,,,,0.41,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
95,eee56c73-3e84-444b-b127-6e271c688247,Pool,97,1,0.22,,0.1,,,,0.9,40,40,20,,,,,,,,,,,,,0.6,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
96,4d93524f-e480-4b8a-8ae2-2abea5e3eb5f,Rapid+,98,1,0.26,,0.2,,0.2,,0.7,30,40,30,,,,,,,,,,,,,0.38,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
97,6e393610-a62c-4a1e-b503-9406661e093e,Riffle,99,1,0.22,,0.3,,0.1,,0.7,40,30,30,,,,,,,,,,,,,0.42,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
98,c843ce61-6125-4db4-9eb2-9996c21c8b67,Rapid+,100,1,0.18,,0.2,,0.2,,0.7,40,30,30,,,,,,,,,,,,,0.46,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
99,a2f0019b-d3bd-4ad8-8305-8c484e08cee0,Riffle,101,1,0.2,,10,,,,90,40,40,20,,,,,,,,,,,,,0.42,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
100,4242923d-37fe-4977-a3ed-8b100582c074,Pool,102,1,0.2,,0.1,,0.2,,0.8,30,40,30,,,,,,,,,,,,,0.46,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
101,2a6ce52d-bc60-431a-adbd-281e60d9445f,Riffle,103,1,0.9,,0.1,,,,0.9,30,30,40,,,,,,,,,,,,,0.26,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
102,9f458c9f-9d30-425a-8c36-c55a60bdbbc7,Rapid+,104,1,0.19,,0.1,,0.2,,0.8,30,40,30,,,,,,,,,,,,,0.36,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
103,5d382ecc-17ff-4063-ab17-fba1820f52f5,Pool,105,1,0.26,,,,,,100,40,40,20,,,,,,,,,,,,,0.48,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
104,053d6898-9f2d-4386-bb5d-ceb11c3f2bc5,Riffle,106,1,0.26,,,,,,100,40,40,20,,,,,,,,,,,,,0.38,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
105,79ebe5f1-dbbf-4e42-bc70-b42ebac8b01e,Pool,107,1,0.24,,0.1,,,,0.9,60,40,,,,,,,,,,,,,,0.54,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
106,f1903261-1162-42b9-83a8-4f1fc5364e64,Riffle,108,1,0.24,,0.1,,0.2,,0.8,30,40,30,,,,,,,,,,,,,0.47,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
107,4a91a703-1cb4-425b-b62e-993662be0128,Riffle,109,22,0.26,,0.2,,0.2,,0.7,30,40,30,,,,,,,,,,,,,,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
108,d9af9593-4f53-475b-828c-e320f3a9439c,Rapid+,110,1,0.19,,0.1,,,,0.9,30,30,40,,,,,,,,,,,,,0.56,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
110,532ba350-5985-4321-8a68-a6c27b30b956,Riffle,111,1,0.25,,0.1,,0.2,,0.7,30,40,30,,,,,,,,,,,,,0.38,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
109,e4cdd804-f095-48db-846c-d8c2af9351f7,SSC,112,23,0.26,,,,,,100,50,50,,,,,,,,,,,,,,,1.8,0.79,0.57,0.5,0.38,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
111,7a15549a-9379-459e-8a50-46110e39d101,Rapid+,113,1,0.15,,0.1,,0.1,,0.9,30,40,30,,,,,,,,,,,,,,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
112,816f2dc1-8206-4f08-b5c2-cfdda34e732f,Riffle,114,1,0.22,,0.1,,0.1,,0.9,30,40,30,,,,,,,,,,,,,0.41,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
113,33808861-4534-4336-929b-7b6713720674,Pool,115,1,0.15,,0.1,,0.1,,0.8,40,40,20,,,,,,,,,,,,,0.4,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
114,f7e16e7a-929a-42f1-9e79-3bcc784f1cb3,Rapid+,116,1,0.2,,0.2,,0.2,,0.7,40,40,20,,,,,,,,,,,,,0.37,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
115,651ace3b-9617-4c60-a194-46661bcd913b,Pool,117,1,0.3,,0.2,,,,0.8,50,40,10,,,,,,,,,,,,,0.5,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
116,cbc9e3f3-9df7-4280-843b-660f3fe63ac2,Rapid+,118,1,1.2,,0.1,,,,0.9,40,40,20,,,,,,,,,,,,,0.52,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
117,2db44670-9ae6-4a25-9728-abeccd068a31,Riffle,119,1,0.14,,0.2,,0.2,,0.7,40,40,20,,,,,,,,,,,,,,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
121,75ef9897-7b15-4b66-a4fb-1a00c7cadb2f,SSC,120,24,0.1,,0.7,,,,0.3,80,20,,,,,,,,,,,,,,0.21,0.4,0.6,0.4,0.39,1.15,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
122,a6b63617-d614-4fdb-99cb-e96466d5ccd0,Rapid+,122,1,0.23,,,,,,100,30,40,30,,,,,,,,,,,,,0.35,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
123,071f235d-e514-4a93-919b-ad2d386afe0d,Riffle,123,1,0.25,,,,,,100,30,50,20,,,,,,,,,,,,,0.29,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
124,d00b0c7b-ad42-46a7-a4cd-6fa5ea19fe54,Pool,124,1,0.22,,0.1,,0.2,,0.8,40,50,10,,,,,,,,,,,,,0.42,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
125,7cb5ccea-30f3-4466-ad57-58c5387d5c02,Riffle,125,1,0.23,,0.1,,0.2,,0.8,30,70,,,,,,,,,,,,,,0.31,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
118,fa149a65-5d28-4090-ae71-a28e2862d68f,SSC,126,26,0.2,,0.3,,0.2,,0.5,50,50,,,,,,,,,,,,,,0.2,1.19,0.65,0.51,1.05,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
119,c9f11b2f-cc4c-437d-979a-84137f0836a7,Run,127,27,0.21,,0.2,,,,0.8,70,30,,,,,,,,,,,,,,0.25,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
120,20fc0dde-26e9-40a7-992b-68d8a878a1dc,Riffle,128,27,0.15,,10,,10,,80,30,60,10,,,,,,,,,,,,,0.23,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
126,669bf503-9875-42c8-85e7-1de8755c625f,Pool,129,1,0.18,,0.2,,0.3,,0.6,40,40,20,,,,,,,,,,,,,0.59,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
127,777008ae-b852-42cd-967f-c7cb29029d77,Riffle,130,1,0.3,,40,,20,,,40,50,10,,,,,,,,,,,,,0.4,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
128,773e4f70-0041-4327-8ebe-5999af378f72,Pool,131,1,0.19,,0.1,,,,0.9,40,30,30,,,,,,,,,,,,,0.4,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
129,dfdf37de-ca28-42dd-bb17-bf1029fdc295,Riffle,132,1,0.23,,0.2,,,,0.8,30,50,20,,,,,,,,,,,,,0.39,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
130,e354bc23-dd5d-4e05-9191-e0db7f2397c6,SSC,133,28,0.15,,0.3,,0.1,,0.6,40,60,,,,,,,,,,,,,,0.26,1.15,1.25,1.09,0.98,1.7,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
131,f19a8f4a-acba-4346-869d-580e6e575549,Pool,134,1,0.33,,0.1,,,,0.9,50,40,10,,,,,,,,,,,,,0.43,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
132,ea5bc1c3-9c7b-42ed-8741-1ef230852d56,Riffle,135,1,0.24,,0.2,,0.1,,0.8,40,40,20,,,,,,,,,,,,,0.45,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
133,1f85459b-6db2-4a90-92c7-8ca50a18d804,Rapid+,136,1,0.31,,,,0.1,,0.9,50,30,20,,,,,,,,,,,,,0.46,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
134,9a2608ea-0684-4813-a4d1-6ac06ef8e18d,Riffle,137,1,0.19,,0.1,,0.1,,0.9,50,40,10,,,,,,,,,,,,,0.33,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
135,615d42ba-9a3f-4dc0-b5cb-91ec8263a577,SSC,138,29,0.12,,0.4,,0.2,,0.6,60,30,10,,,,,,,,,,,,,0.2,0.23,0.61,0.86,0.71,0.81,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
136,80218850-c0fd-45cf-848e-a8b96b3ef4be,Riffle,140,30,0.17,,0.2,,,,0.8,80,10,10,,,,,,,,,,,,,0.33,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
137,dc996137-62a6-46bc-8e14-4a9faeb916f2,Pool,141,1,0.15,,0.1,,0.1,,0.9,50,40,10,,,,,,,,,,,,,0.41,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
138,69be3f5b-dc79-4405-9b9d-3dbc35e23175,Rapid+,142,1,0.21,,0.4,,0.1,,0.6,50,30,20,,,,,,,,,,,,,0.38,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
139,fe4bb594-24ba-48f1-a633-b58419b05b90,Riffle,143,31,0.12,,0.7,,,,0.3,50,40,10,,,,,,,,,,,,,0.18,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
140,379c983b-7d40-499d-8f0e-20dd84189b9a,Riffle,144,1,0.25,,0.2,,0.1,,0.8,60,30,10,,,,,,,,,,,,,0.3,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
141,bd34734e-89d4-452c-aeaf-a67e37d0db7a,Pool,145,1,0.2,,,,,,100,60,30,10,,,,,,,,,,,,,0.35,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
142,90ab6ab7-f679-49d8-b081-0ed67354d62e,SSC,146,32,0.15,,,,,,100,80,20,,,,,,,,,,,,,,0.33,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
143,cb443795-d667-4a7e-91ed-e852ebfab09b,Riffle,147,1,0.2,,0.1,,0.1,,0.8,50,40,10,,,,,,,,,,,,,0.28,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
144,3c49f20e-4057-4577-bd8d-52c1680bb19c,Riffle,148,33,0.18,,0.3,,0.1,,0.7,70,30,,,,,,,,,,,,,,0.2,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
145,e166c848-72cf-4938-aa14-417db2003d13,SSC,149,34,0.1,,0.2,,,,0.8,70,20,10,,,,,,,,,,,,,0.15,0.81,0.72,0.8,0.79,0.85,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
146,60bce51d-95fb-40c5-a91a-ef382aa41234,Pool,150,1,0.22,,0.1,,,,100,90,10,,,,,,,,,,,,,,0.48,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
147,f3e28f09-319c-41ce-b65f-bcb163e6c1b4,Pool,151,1,0.29,,0.1,,,,0.9,90,10,,,,,,,,,,,,,,0.61,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
514,0d0ee464-b970-465b-988f-114bf1de836e,Pool,152,1,0.33,,0.1,,,,0.9,90,10,,,,,,,,,,,,,,0.6,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
515,fb66d841-65b9-48d2-9aa4-fdc54e255492,OCA,153,1,0.15,,0.1,,,,100,100,,,,,,,,,,,,,,,0.15,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
148,5c9e20f4-cfa3-4e23-90c5-28b47f01a790,Riffle,154,1,0.29,,0.1,,,,0.9,30,60,10,,,,,,,,,,,,,0.31,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
149,38701f87-c752-4543-bb75-bb02de9d91a4,Pool,155,1,0.25,,,,,,100,40,60,,,,,,,,,,,,,,0.31,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
150,7edd3a50-9834-4a24-b498-4deb32ccd8c1,Riffle,156,1,0.27,,0.4,,,,0.6,20,50,30,,,,,,,,,,,,,0.33,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
151,b5b41da8-1229-4ede-9199-ea66bb6b1ee1,Pool,157,1,0.2,,0.4,,,,0.6,60,40,,,,,,,,,,,,,,0.41,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
152,5208e693-c77c-4cb3-a1d5-b6b0345e75ea,Riffle,158,1,0.31,,0.7,,,,0.3,,,,,,,,,,,,,,,,0.42,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
153,1e83c0c5-5f61-49cd-b6f7-b11b370f16d3,Pool,159,1,0.24,,0.7,,,,0.3,50,40,10,,,,,,,,,,,,,0.55,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
154,dbc026fb-496b-49b6-aa44-fae035f5d873,Riffle,160,1,0.41,,0.8,,,,0.2,30,60,10,,,,,,,,,,,,,0.41,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
155,39cb2457-c6ff-4c81-987f-c85f90c253f8,Pool,161,1,0.23,,,,,,100,,,,,,,,,,,,,,,,0.42,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
159,5145da7b-3864-4467-85d0-1fac604ce735,Riffle,162,1,0.24,,0.5,,,,0.5,30,70,,,,,,,,,,,,,,0.4,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
156,3937d969-8859-463e-9b14-9901d6e5ffbe,Pool,163,35,0.25,,0.1,,,,0.9,40,60,,,,,,,,,,,,,,0.34,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
157,3a42bb91-f5e8-42c6-9338-c4c0d839c964,Riffle,164,35,0.25,,0.2,,,,0.8,30,60,10,,,,,,,,,,,,,0.26,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
158,44263ca4-4b2e-4943-8397-3f179566bb4b,SSC,165,36,0.15,,,,,,100,80,20,,,,,,,,,,,,,,0.15,0.94,0.87,0.8,0.65,0.47,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
160,e0b6ebf6-6e4f-4de3-b327-fa1577bbffba,SSC,167,38,0.1,,0.2,,,,0.8,30,70,,,,,,,,,,,,,,0.1,0.84,1.03,1.42,1.53,1.21,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
161,e305ea61-37c3-4585-8b92-283b031dd3e7,Pool,168,1,0.33,,0.1,,,,0.9,50,40,10,,,,,,,,,,,,,0.41,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
162,1da0996a-a1f2-40bd-8c6e-ab3854657f49,Riffle,169,1,0.3,,0.2,,,,0.8,30,50,20,,,,,,,,,,,,,0.32,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
163,c99403c2-0dbb-42af-8328-efe6be63e45b,SSC,170,39,0.15,,0.1,,,,0.9,90,10,,,,,,,,,,,,,,0.17,1,1.31,1.06,0.75,0.71,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
164,24f8b1dc-e049-47d0-976f-c9a20dd6911c,SSC,171,40,0.13,,,,,,100,60,30,10,,,,,,,,,,,,,0.2,1.39,1.26,1.07,109,155,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
165,d802c57d-17c8-4747-980d-9ce94cd8e71c,Pool,172,1,0.2,,,,,,100,60,30,10,,,,,,,,,,,,,0.47,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
166,08807fb8-4953-41e9-a8da-724dbc459ba1,Riffle,173,1,0.28,,0.1,,,,0.9,30,60,10,,,,,,,,,,,,,0.28,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
167,3f1c808e-ef69-482c-8dae-5b8796756ca1,Pool,174,1,0.25,,0.1,,,,0.9,30,60,10,,,,,,,,,,,,,0.3,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
168,c30b64c2-a3ff-4154-a5ea-17031b4d85b6,Riffle,175,1,0.26,,0.5,,,,0.5,20,60,20,,,,,,,,,,,,,0.36,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
169,d4210222-1d46-4bc9-a192-11bf8b59a786,Riffle,176,41,0.13,,0.6,,,,0.4,40,60,,,,,,,,,,,,,,0.13,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
170,4506e593-49de-4675-926b-712d73a21174,Riffle,177,1,0.19,,0.6,,0.1,,0.4,40,60,,,,,,,,,,,,,,0.2,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
171,bcd917ac-1e7c-4268-a7b5-5837830b91e0,Pool,178,42,0.26,,0.1,,,,0.9,40,50,10,,,,,,,,,,,,,0.33,,,,,,6ad772a2-4c8c-4eb4-887f-f98297e753e0,6/6/2019 23:13,richie@qcinc.org,6/6/2019 23:13,richie@qcinc.org
